size,width,distance,hint,time_naive_s,time_optimized_s,speedup
64,128,4,T0,0.002078,0.002190,0.9488
64,128,16,T0,0.002078,0.001756,1.1830
64,128,64,T0,0.002078,0.001736,1.1968
64,128,4,NTA,0.002078,0.001622,1.2811
64,128,16,NTA,0.002078,0.001659,1.2524
64,128,64,NTA,0.002078,0.001452,1.4311
64,256,4,T0,0.002078,0.001366,1.5208
64,256,16,T0,0.002078,0.001029,2.0189
64,256,64,T0,0.002078,0.000780,2.6633
64,256,4,NTA,0.002078,0.000782,2.6563
64,256,16,NTA,0.002078,0.000732,2.8391
64,256,64,NTA,0.002078,0.000730,2.8479
128,128,4,T0,0.006119,0.006081,1.0063
128,128,16,T0,0.006119,0.005974,1.0242
128,128,64,T0,0.006119,0.006018,1.0168
128,128,4,NTA,0.006119,0.005975,1.0241
128,128,16,NTA,0.006119,0.006034,1.0140
128,128,64,NTA,0.006119,0.006076,1.0071
128,256,4,T0,0.006119,0.005996,1.0205
128,256,16,T0,0.006119,0.006075,1.0072
128,256,64,T0,0.006119,0.006099,1.0032
128,256,4,NTA,0.006119,0.006032,1.0144
128,256,16,NTA,0.006119,0.006074,1.0075
128,256,64,NTA,0.006119,0.006069,1.0083
256,128,4,T0,0.048840,0.048675,1.0034
256,128,16,T0,0.048840,0.048315,1.0109
256,128,64,T0,0.048840,0.048317,1.0108
256,128,4,NTA,0.048840,0.048320,1.0108
256,128,16,NTA,0.048840,0.048434,1.0084
256,128,64,NTA,0.048840,0.048334,1.0105
256,256,4,T0,0.048840,0.048330,1.0106
256,256,16,T0,0.048840,0.048323,1.0107
256,256,64,T0,0.048840,0.048396,1.0092
256,256,4,NTA,0.048840,0.048333,1.0105
256,256,16,NTA,0.048840,0.048313,1.0109
256,256,64,NTA,0.048840,0.048684,1.0032
512,128,4,T0,0.391323,0.391611,0.9993
512,128,16,T0,0.391323,0.391382,0.9998
512,128,64,T0,0.391323,0.391220,1.0003
512,128,4,NTA,0.391323,0.391207,1.0003
512,128,16,NTA,0.391323,0.391241,1.0002
512,128,64,NTA,0.391323,0.391063,1.0007
512,256,4,T0,0.391323,0.391166,1.0004
512,256,16,T0,0.391323,0.391315,1.0000
512,256,64,T0,0.391323,0.391381,0.9999
512,256,4,NTA,0.391323,0.396365,0.9873
512,256,16,NTA,0.391323,0.396589,0.9867
512,256,64,NTA,0.391323,0.391197,1.0003
