size,distance,hint,time_naive_s,time_prefetch_s,speedup
64,2,T0,0.000869,0.001054,0.8243
64,4,T0,0.000869,0.002037,0.4266
64,8,T0,0.000869,0.001958,0.4437
64,16,T0,0.000869,0.001923,0.4519
64,32,T0,0.000869,0.001828,0.4754
64,64,T0,0.000869,0.001895,0.4584
64,2,T1,0.000869,0.001364,0.6369
64,4,T1,0.000869,0.001052,0.8263
64,8,T1,0.000869,0.001050,0.8274
64,16,T1,0.000869,0.000880,0.9876
64,32,T1,0.000869,0.000881,0.9858
64,64,T1,0.000869,0.000881,0.9863
64,2,T2,0.000869,0.000881,0.9863
64,4,T2,0.000869,0.000880,0.9877
64,8,T2,0.000869,0.000880,0.9872
64,16,T2,0.000869,0.000880,0.9874
64,32,T2,0.000869,0.000879,0.9880
64,64,T2,0.000869,0.000880,0.9878
64,2,NTA,0.000869,0.000880,0.9879
64,4,NTA,0.000869,0.000881,0.9868
64,8,NTA,0.000869,0.000879,0.9885
64,16,NTA,0.000869,0.000880,0.9873
64,32,NTA,0.000869,0.000882,0.9853
64,64,NTA,0.000869,0.000879,0.9881
128,2,T0,0.005977,0.006969,0.8576
128,4,T0,0.005977,0.006950,0.8600
128,8,T0,0.005977,0.006949,0.8601
128,16,T0,0.005977,0.006984,0.8558
128,32,T0,0.005977,0.006957,0.8591
128,64,T0,0.005977,0.006953,0.8597
128,2,T1,0.005977,0.006950,0.8601
128,4,T1,0.005977,0.006955,0.8594
128,8,T1,0.005977,0.006948,0.8602
128,16,T1,0.005977,0.006951,0.8598
128,32,T1,0.005977,0.006974,0.8571
128,64,T1,0.005977,0.006956,0.8592
128,2,T2,0.005977,0.006955,0.8593
128,4,T2,0.005977,0.006958,0.8591
128,8,T2,0.005977,0.006952,0.8597
128,16,T2,0.005977,0.006954,0.8594
128,32,T2,0.005977,0.006953,0.8597
128,64,T2,0.005977,0.006952,0.8597
128,2,NTA,0.005977,0.006966,0.8580
128,4,NTA,0.005977,0.006951,0.8598
128,8,NTA,0.005977,0.006948,0.8602
128,16,NTA,0.005977,0.006952,0.8598
128,32,NTA,0.005977,0.006944,0.8607
128,64,NTA,0.005977,0.006946,0.8605
256,2,T0,0.048311,0.055060,0.8774
256,4,T0,0.048311,0.055059,0.8774
256,8,T0,0.048311,0.055064,0.8774
256,16,T0,0.048311,0.055074,0.8772
256,32,T0,0.048311,0.055070,0.8773
256,64,T0,0.048311,0.055054,0.8775
256,2,T1,0.048311,0.055170,0.8757
256,4,T1,0.048311,0.055071,0.8773
256,8,T1,0.048311,0.055065,0.8773
256,16,T1,0.048311,0.055064,0.8774
256,32,T1,0.048311,0.055070,0.8773
256,64,T1,0.048311,0.055055,0.8775
256,2,T2,0.048311,0.055083,0.8771
256,4,T2,0.048311,0.055061,0.8774
256,8,T2,0.048311,0.055054,0.8775
256,16,T2,0.048311,0.055065,0.8774
256,32,T2,0.048311,0.055062,0.8774
256,64,T2,0.048311,0.055182,0.8755
256,2,NTA,0.048311,0.055057,0.8775
256,4,NTA,0.048311,0.055146,0.8761
256,8,NTA,0.048311,0.055056,0.8775
256,16,NTA,0.048311,0.055134,0.8763
256,32,NTA,0.048311,0.055051,0.8776
256,64,NTA,0.048311,0.055077,0.8772
512,2,T0,0.390025,0.439799,0.8868
512,4,T0,0.390025,0.439982,0.8865
512,8,T0,0.390025,0.439895,0.8866
512,16,T0,0.390025,0.440037,0.8863
512,32,T0,0.390025,0.439939,0.8865
512,64,T0,0.390025,0.440019,0.8864
512,2,T1,0.390025,0.440025,0.8864
512,4,T1,0.390025,0.439909,0.8866
512,8,T1,0.390025,0.440035,0.8864
512,16,T1,0.390025,0.439853,0.8867
512,32,T1,0.390025,0.439982,0.8865
512,64,T1,0.390025,0.439934,0.8866
512,2,T2,0.390025,0.439812,0.8868
512,4,T2,0.390025,0.439857,0.8867
512,8,T2,0.390025,0.439903,0.8866
512,16,T2,0.390025,0.439795,0.8868
512,32,T2,0.390025,0.440027,0.8864
512,64,T2,0.390025,0.439827,0.8868
512,2,NTA,0.390025,0.439940,0.8865
512,4,NTA,0.390025,0.440197,0.8860
512,8,NTA,0.390025,0.439848,0.8867
512,16,NTA,0.390025,0.439997,0.8864
512,32,NTA,0.390025,0.439776,0.8869
512,64,NTA,0.390025,0.439905,0.8866
